quarks,B,S,J,status,dE
uddsUC,0.6666666666666666,-1,3.0,Allowed,-97.17002
uddsUB,0.6666666666666666,-1,0.0,Allowed,-95.014599
uddsUB,0.6666666666666666,-1,1.0,Allowed,-94.766406
uddsUB,0.6666666666666666,-1,2.0,Allowed,-94.518213
uddsUB,0.6666666666666666,-1,3.0,Allowed,-94.27002
uddsDD,0.6666666666666666,-1,0.0,Allowed,-0.2725989999999999
uddsDD,0.6666666666666666,-1,1.0,Allowed,-0.024405999999999706
uddsDD,0.6666666666666666,-1,2.0,Energy,0.22378700000000018
uddsDD,0.6666666666666666,-1,3.0,Energy,0.47198000000000007
uddsDS,0.6666666666666666,0,0.0,Allowed,-0.16076499999999982
uddsDS,0.6666666666666666,0,1.0,Energy,0.08742800000000028
uddsDS,0.6666666666666666,0,2.0,Energy,0.33562100000000017
uddsDS,0.6666666666666666,0,3.0,Energy,0.5838140000000003
uddsDC,0.6666666666666666,-1,0.0,Allowed,-97.914599
uddsDC,0.6666666666666666,-1,1.0,Allowed,-97.666406
uddsDC,0.6666666666666666,-1,2.0,Allowed,-97.418213
uddsDC,0.6666666666666666,-1,3.0,Allowed,-97.17002
uddsDB,0.6666666666666666,-1,0.0,Allowed,-95.014599
uddsDB,0.6666666666666666,-1,1.0,Allowed,-94.766406
uddsDB,0.6666666666666666,-1,2.0,Allowed,-94.518213
uddsDB,0.6666666666666666,-1,3.0,Allowed,-94.27002
uddsSS,0.6666666666666666,1,0.0,Allowed,-0.048930999999999614
uddsSS,0.6666666666666666,1,1.0,Energy,0.19926200000000027
uddsSS,0.6666666666666666,1,2.0,Energy,0.4474550000000004
uddsSS,0.6666666666666666,1,3.0,Energy,0.6956480000000003
uddsSC,0.6666666666666666,0,0.0,Allowed,-97.802765
uddsSC,0.6666666666666666,0,1.0,Allowed,-97.554572
uddsSC,0.6666666666666666,0,2.0,Allowed,-97.30637899999999
uddsSC,0.6666666666666666,0,3.0,Allowed,-97.058186
uddsSB,0.6666666666666666,0,0.0,Allowed,-94.902765
uddsSB,0.6666666666666666,0,1.0,Allowed,-94.654572
uddsSB,0.6666666666666666,0,2.0,Allowed,-94.406379
uddsSB,0.6666666666666666,0,3.0,Allowed,-94.158186
uddsCC,0.6666666666666666,-1,0.0,Allowed,-96.634599
